LON	        LAT	        NOM
-2.853055477	16.689167023	DISP
-1.322777748	15.819999695	Disp
-4.389722347	15.795555115	DISP.
-3.699166775	15.824722290	Dispensaire
-0.353888899	16.958055496	DJAMB
0.280833334	16.344722748	Djebock
0.279166669	16.344165802	Djebock
-3.011388779	16.656389236	DJEGUELIA
-0.045833334	16.234167099	Djidara
-2.869166613	16.706666946	Djirsi-kïra
-3.508055449	16.160833359	Dongho
-3.448611021	16.549722672	Dongoï
-3.324444532	16.318611145	Douta
-0.052499998	16.255277634	DRHE
-3.593888998	16.045000076	DSP
-3.447499990	16.431943893	E BANGAOU 2
-2.381944418	16.751943588	E.
-3.670277834	16.418888092	E.-1
-3.660555601	16.418333054	E.-2
0.250833333	16.646667480	Ebagaw
-1.673888922	17.035554886	EBANG
-3.988611221	15.928055763	EC
-3.989166737	15.929721832	EC
-3.237777710	16.090278625	EC
-3.942777872	16.223054886	ECHEL 3
-3.774166584	15.514444351	ECL
-3.591944456	16.045000076	ECL
-3.801666737	16.081943512	ECL.
-3.617777824	15.775555611	ECL.
-3.266111135	16.513610840	Ecole
-2.987222195	16.705833435	Ecole
-2.525555611	16.840278625	ECOLE
-3.004722118	16.752777100	ECOLE
-3.698888779	15.823888779	Ecole
-2.853888988	16.689167023	ECOLE
-3.122499943	16.646667480	Ecole
-1.747222185	16.984167099	Ecole
-2.960555553	16.667778015	Ecole
-2.793888807	16.711666107	Ecole
-4.115555763	15.853610992	Ecole
-2.936388969	16.920833588	Ecole
-1.672777772	16.963333130	Ecole
-3.009444475	16.780277252	Ecole
-2.997777700	16.774166107	Ecole
0.344166666	15.149444580	Ecole
-0.220277771	16.653333664	Ecole
0.727777779	15.680555344	Ecole - 30m à l'ouest
0.074722223	16.134166718	Ecole de Dama
0.706388891	15.478610992	Ecole de Tassiga
-0.261388898	16.712499619	Ecole du premier cycle
0.133888885	15.991666794	Ecole du premier cycle
0.010833333	17.791666031	Ecole du site
-0.019444445	16.219444275	Ecole du village
0.431388885	15.701666832	Ecole du village
0.460555553	15.743055344	Ecole du village
0.277777791	15.851111412	Ecole du village
-0.016944444	16.373332977	Ecole du village
0.741944432	15.427222252	Ecole du village
0.677222252	15.133055687	Ecole du village
-2.618888855	16.767221451	Ecole P.C
-2.764444351	16.693611145	Ecole PC
-3.014166594	16.783889771	Ecole PC
-0.023888890	16.329721451	Ecole Premier cycle
-2.412777662	16.860555649	Ecole primaire
-0.073333330	16.323333740	Ecole publique
-0.099166669	16.269166946	Ecole publique
-0.023055555	16.315277100	Ecole Taraykongo
0.431666672	15.761944771	Ecole Tizimizi
-0.052222222	16.246110916	EDM
-0.053055555	16.245277405	EDM
-0.052499998	16.244199753	EDM
-0.049722221	16.244443893	EDM
-0.050555557	16.245832443	EDM
-0.049166668	16.240833282	EDM
-0.050000001	16.242500305	EDM
-0.050833333	16.243055344	EDM
-0.051944446	16.242776871	EDM G-8
2.573333263	16.199722290	Eknewen
-3.446944475	16.190277100	El Walidji
-3.443055630	16.192499161	El Walidji
-3.444722176	16.191944122	El Walidji
-3.694444418	15.822500229	Elevage
3.266944408	16.146944046	Emis Emis
1.120000005	15.947777748	En bordure de la mare
0.113888890	17.325000763	En bordure de la mare
-0.418333322	15.815278053	En bordure de la mare
0.962777793	15.337222099	En bordure de la mare
0.961666644	15.320555687	En bordure de la mare
-0.159999996	15.869166374	En bordure de la mare
0.604722202	15.597777367	En bordure de la mare
0.779444456	16.721389771	En bordure de la mare
0.501944423	15.668055534	En bordure de la mare
3.200000048	16.933332443	En bordure de la mare
0.456944436	16.325000763	En bordure de l'oued
-0.251944453	15.398056030	En bordure de l'oued
0.971944451	17.185556412	En bordure de l'oued
0.824999988	15.406944275	En bordure de l'oued
-0.534166694	15.789722443	En bordure de l'oued
-0.689444423	15.737777710	En bordure de l'oued
-0.482777774	15.559721947	En bordure de l'oued
0.319444448	15.310555458	En bordure de l'oued
0.209999993	15.453611374	En bordure de l'oued
2.726944447	15.698333740	En bordure de l'oued
1.526388884	15.868888855	En bordure de l'oued
2.459444523	16.679166794	En bordure de l'oued
2.518611193	15.805555344	En bordure de l'oued
0.302777767	15.924722672	En bordure de l'oued
0.697222233	15.518888474	En bordure de l'oued
0.703888893	15.491666794	En bordure de l'oued
0.769999981	15.038055420	En bordure de l'oued
0.352222234	15.838889122	En bordure de l'oued
0.954444468	15.713610649	En bordure de l'oued
0.804722250	15.272222519	En bordure de l'oued
0.691666663	15.948333740	En bordure de l'oued
0.224999994	16.574443817	En bordure de l'oued
0.798611104	15.164443970	En bordure de l'oued
0.874722242	15.311666489	En bordure de l'oued
-0.416944444	15.368611336	En bordure de l'oued
0.208333328	16.236665726	Enceinte de l'école
0.291944444	15.224444389	Enceinte de l'école
0.472499996	15.548333168	Enceinte de l'école
0.452499986	15.605555534	Enceinte de l'école
0.011388889	17.792778015	Ersan
-3.636944532	16.782222748	ESSAKANE
2.701111078	15.634721756	Esseylei-Inbahou
1.184999943	18.768049240	ESSOUK
1.176110983	18.753059387	ESSOUK
-2.681944370	16.617776871	Est
-2.674166679	16.585556030	Est AGLAL
-3.155833244	16.504167557	Est du village
-0.101111114	16.280000687	Est du village
0.210277781	16.706111908	Est du village
-4.206110954	16.688888550	est mosquée
-2.899722338	15.791388512	Est site
0.266700000	16.643600464	Est site
0.449999988	16.983333588	Est village
1.442499995	18.446950912	Etambar
1.403056026	18.450000763	Etambar
-3.823888779	15.954722404	Fadililahi
0.746100008	15.321900368	Fafa
-0.083888888	16.558055878	FAGOUNA
-3.308055639	16.360555649	Farabongo
-3.309444427	16.357500076	Farabongo
-3.634999990	16.780555725	FARACH
0.703888893	15.479999542	Farmakoïré
-3.755833387	16.479444504	Fatakara
-3.755277872	16.481666565	Fatakara
-3.755555630	16.483333588	Fatakara
-3.221666574	16.159444809	FATTA
-3.468611002	16.361389160	Fendou Kaïna
0.746944427	15.405833244	Firthindi
-0.073333330	16.506666183	Forgho
-0.068888888	16.537221909	Forgo sonaï
-3.806666613	16.868333817	Fract. Kel Antassar 2
-3.557222128	16.789167404	Fract. Kel Antassar 3
-3.442500114	16.210832596	Gaïrama
-1.396111131	17.046667099	Gabeye
0.660000026	15.501667023	Gachi
0.370833337	15.777500153	Gajéna
-1.922500014	16.880832672	Gakorey Iforas
-3.503611088	16.501111984	GALAGA 1
-3.181388855	16.506944656	Garba Koïra
-4.171666622	16.467777252	GARGANDO
0.215277776	15.929721832	Gargouna
0.219166666	15.923889160	Gargouna Cent
-3.325000048	16.329444885	Gari
-3.323333263	16.327222824	Gari
-0.747222245	18.752500534	Gasser Cheick
-0.752777755	18.750278473	Gasser Cheick
-0.736944437	18.755556107	Gasser Cheick
